Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,41.602501,47.592499,41.317501,46.717499,44.536785,2483905200
2018-06-01,46.997501,48.549999,45.182499,46.277500,44.287426,2110498000
2018-07-01,45.955002,48.990002,45.855000,47.572498,45.526749,1574765600
2018-08-01,49.782501,57.217499,49.327499,56.907501,54.460320,2801275600
2018-09-01,57.102501,57.417500,53.825001,56.435001,54.197552,2715888000
2018-10-01,56.987499,58.367500,51.522499,54.715000,52.545738,3158994000
2018-11-01,54.762501,55.590000,42.564999,44.645000,42.874985,3845305600
2018-12-01,46.115002,46.235001,36.647499,39.435001,38.003681,3595690000
2019-01-01,38.722500,42.250000,35.500000,41.610001,40.099739,3312349600
2019-02-01,41.740002,43.967499,41.482498,43.287498,41.716351,1890162400
2019-03-01,43.570000,49.422501,42.375000,47.487499,45.960182,2603925600
2019-04-01,47.910000,52.119999,47.095001,50.167500,48.553982,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,42.359833,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.480000,48.073009,2060874800
2019-07-01,50.792500,55.342499,49.602501,53.259998,51.745525,1895406800
2019-08-01,53.474998,54.507500,48.145000,52.185001,50.701103,2724326400
2019-09-01,51.607498,56.605000,51.055000,55.992500,54.607025,2170268400
2019-10-01,56.267502,62.437500,53.782501,62.189999,60.651169,2433210800
2019-11-01,62.384998,67.000000,62.290001,66.812500,65.159286,1793326000
2019-12-01,66.817497,73.492500,64.072502,73.412498,71.810936,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,75.689438,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,66.849098,3019279200
2020-03-01,70.570000,76.000000,53.152500,63.572498,62.333191,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,72.018127,3265299200
2020-05-01,71.562500,81.059998,71.462502,79.485001,77.935478,2805936000
2020-06-01,79.437500,93.095001,79.302498,91.199997,89.664162,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,104.470558,3020283200
2020-08-01,108.199997,131.000000,107.892502,129.039993,126.866920,4070061100
2020-09-01,132.759995,137.979996,103.099998,115.809998,114.065018,3885245100
2020-10-01,117.639999,125.389999,107.720001,108.860001,107.219734,2894666500
2020-11-01,109.110001,121.989998,107.320000,119.050003,117.256203,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,130.916153,2322189600
2021-01-01,133.520004,145.089996,126.379997,131.960007,130.195908,2240262000
2021-02-01,133.750000,137.880005,118.389999,121.260002,119.638939,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,120.697151,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.896408,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,123.127876,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.560852,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,144.369965,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,150.278961,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,140.264313,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,148.491837,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.856461,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,176.276230,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,173.506531,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.916931,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,173.558640,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,156.700745,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.943802,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,136.096451,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,161.768814,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,156.502960,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,137.760773,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,152.852661,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,147.559555,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.731918,1675731200
2023-01-01,130.279999,147.229996,124.169998,144.289993,144.070023,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,147.185272,1307198900
2023-03-01,146.830002,165.000000,143.899994,164.899994,164.899994,1520017600
2023-04-01,164.270004,166.839996,161.800003,164.660004,164.660004,200156300
2023-04-06,162.429993,164.958405,162.029999,164.660004,164.660004,45390123
